"revisited","avg_avg_bitrate","avg_buffer_ratio","avg_buffer_underruns","avg_playtime","avg_startup_time","avg_bitrate","bufferRatio","buffer_underruns","playtime","startup_time","betterBitrate","betterBufferRatio","betterBufferUnderruns","betterPlayTime","betterStartupTime","visitsSameDay","user_id"
0,1218980,0,0,202,2519,1218980,0,0,202,2519,0,0,0,0,0,0,286647
0,0,0,0,71,2178,0,0,0,71,2178,0,0,0,0,0,0,269734
0,1561815.50263941,0.00049371215823153,0.0116508444444444,2268.79367917037,4492.22388859259,1610200,0,0,8873,6767,0,0,0,0,0,0,88337
0,2743231.60031791,2.1011962793856,0.761450263738868,2127.281833632,2173.56457911315,3509140,0,0,554,1887,0,0,0,0,0,0,57556
0,1053646.25,NA,0.5,516.5625,4436.375,1118540,6.86644591611479,1,906,4351,0,0,0,0,0,0,30725
0,1571950,2.70967741935484,1,31,2398,1571950,2.70967741935484,1,31,2398,0,0,0,0,0,0,93287
0,12339192.7558594,0,0,2804.5279296875,2312.74609375,35602300,0,0,5283,2491,0,0,0,0,0,0,111441
0,0,93.9145299145299,1,117,2096,0,93.9145299145299,1,117,2096,0,0,0,0,0,0,208969
0,0,0.00233190809417947,0.0087890625,376.51953125,2465.96484375,0,0,0,215,2685,0,0,0,0,0,0,159746
0,1270607.5,0,0,326.5625,1687.6875,1226880,0,0,534,1582,0,0,0,0,0,0,154129
0,0,0,0,75,4879,0,0,0,75,4879,0,0,0,0,0,0,281327
0,1339180,0,0,3183,3899,1339180,0,0,3183,3899,0,0,0,0,0,0,106502
0,1609183.33333333,0,0,3604.66666666667,5320.33333333333,1400980,0,0,76,321,0,0,0,0,0,0,89094
0,1590656.62438004,120.479309527197,0.592592592592593,73.8401096772265,15051.5174875392,1611220,0,0,43,23690,0,0,0,0,0,0,206710
0,1620553.33333333,0,0,3484,2771.25925925926,1626740,0,0,3992,2993,0,0,0,0,0,0,170976
0,3117345,2.19036697247706,1,2754.5,6294.5,3430880,0,0,5291,5827,0,0,0,0,0,0,145150
0,470310,20.7916109625668,1,4634,6995,940620,0,0,9190,6440,0,0,0,0,0,0,287030
0,1498287.5,0,0,139.875,61.125,1582970,0,0,176,34,0,0,0,0,0,0,177077
0,1380436.25,0,0,1862.5,3270.625,1692220,0,0,3619,6531,0,0,0,0,0,0,277870
0,1465523.375163,0,0,90.6097478365425,1936.29273992786,1557760,0,0,113,2658,0,0,0,0,0,0,182929
0,3613215,0,0,79,0.5,5782500,0,0,12,0,0,0,0,0,0,0,222477
0,0,0,0,115,2953,0,0,0,115,2953,0,0,0,0,0,0,258538
0,0,0,0,131,2408.33333333333,0,0,0,133,1815,0,0,0,0,0,0,235669
0,1752764.58333333,0,0,1277.08333333333,2697.5,2038740,0,0,1634,3096,0,0,0,0,0,0,70866
0,1410186,0,0,2790.33333333333,2942.2,1633710,0,0,3786,1831,0,0,0,0,0,0,192517
0,0,0,0,29.5,2159.25,0,0,0,17,1769,0,0,0,0,0,0,96463
0,0,0,0,20,1474.5,0,0,0,4,1240,0,0,0,0,0,0,249929
0,1476000,0,0,317,4226,1476000,0,0,67,3932,0,0,0,0,0,0,198776
0,1301852.421875,0.0364956650009652,0.3125,3386.609375,948.5859375,0,0,0,6182,0,0,0,0,0,0,0,232198
0,1686720,0,0,6444,4348,1686720,0,0,6444,4348,0,0,0,0,0,0,276137
0,0,0,0,4003.875,2260.15625,0,0,0,7883,1925,0,0,0,0,0,0,133759
0,13260540.2274523,0.0594295679520443,0.0458959186769838,2492.63329041456,2329.74064166619,25631300,0,0,8741,2338,0,0,0,0,0,0,114168
0,1740190,0,0,10609,8298,1740190,0,0,10609,8298,0,0,0,0,0,0,128817
0,2419881.14170766,0.443273242502251,0.362602743469515,1345.33309487924,2789.09414141999,3438300,0,0,727,8559,0,0,0,0,0,0,2471
0,1630105.125,0,0,5574.5,5396.375,1688820,0,0,6904,8456,0,0,0,0,0,0,194859
0,1961929.46998659,4.88470822244036,1.48821186784093,993.515331999097,4717.18467928577,1614500,1.63507779349364,3,1414,3126,0,0,0,0,0,0,39210
0,9724020,0,0,13,1831,9724020,0,0,13,1831,0,0,0,0,0,0,170396
0,0,0,0,46,3551,0,0,0,46,3551,0,0,0,0,0,0,252337
0,1602775,0,0,134.5,94.5,1410610,0,0,159,122,0,0,0,0,0,0,240963
0,3184275,3.12456038046297,0.75,2492.375,3749.625,3521700,0.0554934302488119,2,7154,2049,0,0,0,0,0,0,193073
0,325823.142263867,NA,0.749017037227557,255.16154664717,1215.05677111117,0,46.1785714285714,1,28,582,0,0,0,0,0,0,76549
0,0,2.18314476172547,0.0627904392430503,550.085932713294,1217.26535328782,0,0,0,33,992,0,0,0,0,0,0,156790
0,0,0.296532452954639,1.33081796698597,2034.20415302904,4303.45125270089,0,2.33801741255537,11,6547,9133,0,0,0,0,0,0,94354
0,1330193.00491541,7.60536034610109,0.148148148148148,3614.50520118884,10779.7509144947,1569060,0,0,7445,18516,0,0,0,0,0,0,178804
0,0,0.213223196945979,0.35467529296875,1227.0231294632,3664.21076231003,0,0.0905405405405405,2,5920,3959,0,0,0,0,0,0,88499
0,0,0,0,134,2459,0,0,0,134,2459,0,0,0,0,0,0,38173
0,13826023.0099941,0,0,1841.61375661376,2315.47383891828,18122800,0,0,4183,2325,0,0,0,0,0,0,179582
0,0,0,0,2814.8090939464,5078.15195004582,0,0,0,8966,7080,0,0,0,0,0,0,173687
0,1627060,0,0,1758.25,3672.25,1627060,0,0,1192,2944,0,0,0,0,0,0,232683
0,699435,337.309090909091,1,55,8059,699435,337.309090909091,1,55,8059,0,0,0,0,0,0,72707
0,1435498.33333333,0,0,85.5277777777778,3889.25,1270190,0,0,60,3252,0,0,0,0,0,0,157459
0,984328.779095936,NA,0.229338134430727,2374.33546060528,7318.72781635802,1484630,0,0,3119,13415,0,0,0,0,0,0,43260
0,1599710,0,0,6047,13540,1599710,0,0,6047,13540,0,0,0,0,0,0,138893
0,2318857.84776711,0.0370929219388048,0.4924859015394,1964.04259106843,5027.32309708886,1557000,0,0,94,5447,0,0,0,0,0,0,10676
0,360336,9.17378048780488,0.5,358.5,18725.5,720672,0,0,553,6982,0,0,0,0,0,0,258567
